date,Actual,GBM_Div,Implied_Vol,Implied_Vol_AV,Implied_Vol_EMS,Implied_Vol_CV
2023-08-09,1124.23,1133.1973723078368,1127.2035914768883,1127.2149721947826,1127.2142936738414,1127.39021720249
2023-08-10,1125.79,1125.5986257241987,1122.4561783205756,1122.5454415249706,1122.5451981526746,1122.6406018703194
2023-08-11,1122.01,1126.6848611193068,1121.5039971174122,1121.5033334209907,1121.5028312094867,1121.6879096479759
2023-08-14,1125.99,1126.355149946539,1119.9597389262942,1119.9184568270014,1119.9180181210634,1120.1467943362268
2023-08-15,1121.69,1131.1043804860494,1123.8361328754618,1123.7925394625868,1123.7925445859714,1124.0239558627493
2023-08-16,1117.81,1121.9454921124625,1116.5209920852203,1116.4539975319374,1116.4537924666067,1116.7059891996985
2023-08-17,1112.36,1116.1499206118685,1112.5810191037385,1112.5294382449335,1112.5306282204097,1112.764723600717
2023-08-18,1107.76,1110.1115543261728,1108.7883142369055,1108.7567477769858,1108.7566679139827,1108.9678961213488
2023-08-21,1107.25,1109.730783894354,1107.8333935792953,1107.7798847381725,1107.7796744908821,1108.0152290731378
2023-08-22,1112.44,1114.4875283286194,1111.2389859812847,1111.2137194009786,1111.2124013354837,1111.4233737769594
2023-08-23,1116.56,1116.3560761679807,1111.4156660237074,1111.3028585677848,1111.3025401334964,1111.5960541344411
2023-08-24,1113.47,1124.9597289221751,1117.3179733855109,1117.1570535896956,1117.1555389730859,1117.5011100150605
2023-08-25,1109.16,1112.1199565439329,1108.7117300217603,1108.627750809275,1108.6268134782094,1108.8940883205578
2023-08-28,1117.38,1117.014430080506,1113.4567820568618,1113.463776683528,1113.4634404839117,1113.6409081142015
2023-08-29,1126.82,1124.4992532363606,1119.348722235761,1119.3418735689295,1119.3406470953307,1119.5328569274543
2023-08-30,1131.02,1136.2582815209762,1127.7630136454065,1127.7436548768253,1127.7441470909682,1127.9485283935724
2023-08-31,1133.56,1140.3923038144753,1130.932946604286,1130.8948586797223,1130.894409569124,1131.1158856899876
2023-09-01,1133.36,1139.713433981933,1129.869794871328,1129.8140291147167,1129.8128172547688,1130.0561504871162
2023-09-04,1134.8,1142.4840024544237,1131.1794221058306,1131.083948115357,1131.083115986022,1131.3650479933578
2023-09-05,1135.24,1137.4447236154858,1129.6986724345134,1129.7383790551678,1129.7376500137575,1129.8823398745797
2023-09-06,1128.06,1131.5977371786696,1126.2206375094058,1126.321430035596,1126.3208065542087,1126.404212039816
2023-09-07,1125.96,1132.7690529769059,1123.595896684354,1123.496445146874,1123.4959595548557,1123.7768373906017
2023-09-08,1129.22,1126.8465632991538,1121.3202297149016,1121.3535421257022,1121.3533101728003,1121.5068353953618
2023-09-11,1131.53,1128.3567844029094,1122.6456831169974,1122.6784713321188,1122.6778770172775,1122.8288098689302
2023-09-12,1130.38,1134.1913177359497,1126.507757218878,1126.5171755694043,1126.5164454265096,1126.692234950129
2023-09-13,1130.38,1132.6905835010823,1123.7098511338202,1123.632102960275,1123.6330686588744,1123.8927230151683
2023-09-14,1133.78,1132.7184681520525,1124.0910365341986,1124.1122532463473,1124.1119915161514,1124.2719264566272
2023-09-15,1129.6,1139.9837553084908,1128.9214238893178,1128.9002418663026,1128.899791564815,1129.1060210497546
2023-09-18,1129.4,1129.9724898376971,1121.4869710938267,1121.4779258404722,1121.4776795033795,1121.669300005559
2023-09-19,1124.04,1130.410409779245,1121.5453974695774,1121.52012329588,1121.5196587466307,1121.730932291371
2023-09-20,1128.75,1127.6325783474174,1119.9749861241867,1119.990041572348,1119.9886345282966,1120.1563491913842
2023-09-21,1112.86,1118.3444266962892,1114.2104123410656,1114.3257758687503,1114.3260602921334,1114.3916155320703
2023-09-22,1111.77,1106.98389705151,1105.3442547743184,1105.4118718928871,1105.410115653738,1105.5212505769314
2023-09-25,1110.65,1105.289214580192,1104.1079914714999,1104.1543452824076,1104.1532669794583,1104.2866393103818
2023-09-26,1103.32,1109.9893696363204,1106.8291864367093,1106.843994360952,1106.8456441637998,1107.0046685957377
