date,Delta,Gamma
2023-08-09,0.15755693631717804,-0.5244892704467928
2023-08-10,0.1868531063246337,1.395188961032545
2023-08-11,0.18838097714706237,-0.7254964351886882
2023-08-14,0.15584023124119994,0.003438914063735864
2023-08-15,0.19073602195703643,0.3085766745243745
2023-08-16,0.15910344071244253,-0.1588271684340725
2023-08-17,0.1814007828670583,0.754378209603601
2023-08-18,0.19916185223564753,-0.38486056937472307
2023-08-21,0.1554685690621227,-0.10648868928910814
2023-08-22,0.1712311316373416,0.7998443315045732
2023-08-23,0.18463441459971364,0.8801981251963296
2023-08-24,0.15522820578553365,0.1955402725798194
2023-08-25,0.22833082578017638,-2.946828042513516
2023-08-28,0.17944080974075405,0.5575376814704213
2023-08-29,0.19989262873195912,-1.252714338534133
2023-08-30,0.15647415539206122,-0.2545468825701391
2023-08-31,0.15464718013390666,-0.36339179769129254
2023-09-01,0.12049349041035384,1.5291974224055591
2023-09-04,0.1513277378580824,0.11314141229377125
2023-09-05,0.17419674798702545,1.119976008794765
2023-09-06,0.17123363359814903,-0.5042995789153791
2023-09-07,0.15499439596624143,-0.16274213194265028
2023-09-08,0.18300017920637401,-0.9709800803648247
2023-09-11,0.184906969518579,1.8082312230944804
2023-09-12,0.18148162609577412,0.8459329494144184
2023-09-13,0.14894353173758645,0.1145836181422055
2023-09-14,0.18091303091068767,1.1514890416037813
2023-09-15,0.14936904359728942,0.3257131918871891
2023-09-18,0.1378247216894124,-0.34908350380646874
2023-09-19,0.1968025731457601,-0.17529163560539016
2023-09-20,0.16512068604924934,-0.635386569865659
2023-09-21,0.2330728041170005,-0.04610422784026013
2023-09-22,0.17224137202674683,0.6761640514923782
2023-09-25,0.1559806881186887,-1.388235230660939
2023-09-26,0.19927322867260955,-0.018742785323411223
2023-09-27,0.16848505767711686,0.07059606714392429
2023-09-28,0.15907042712115071,0.06213070100784533
2023-09-29,0.19223069352847233,-0.42321381060901325
2023-10-02,0.16540952198056402,0.2129687384694989
2023-10-03,0.1538780957707786,0.2002995919610839
2023-10-04,0.18652498386700245,0.1778339358679659
2023-10-05,0.16337378286380044,-0.12761059870172173
2023-10-06,0.17211563674436547,-0.6968164497266115
2023-10-09,0.17439184998011115,0.3269321198786201
2023-10-10,0.21936881490319138,-2.7963883950178565
2023-10-11,0.2137114756101255,0.9583363552337685
2023-10-12,0.14961359284598075,0.05562637825278215
2023-10-13,0.15439991209177606,-0.19691427105499312
2023-10-16,0.15931351685139816,-0.08862207578204105
2023-10-17,0.1715126385147414,0.8052976231738284
2023-10-18,0.19442727309751717,0.37226247759463144
2023-10-19,0.16948253224654763,-0.47228289768099774
2023-10-20,0.20426595994877061,0.7684270877689413
2023-10-23,0.19233810788819028,-0.882740231190837
2023-10-24,0.17864661792827974,-0.9320395642134824
2023-10-25,0.17690724151407267,-1.0180814139857828
2023-10-26,0.19769755216884732,2.640110055926925
2023-10-27,0.20509461292704145,-0.5635976624944304
2023-10-30,0.18749677907635487,-0.5054309027400449
2023-10-31,0.24811816951114452,0.676416328678897
2023-11-01,0.24314505554457355,-0.4142403716286935
2023-11-02,0.15401967385059834,0.25435520165046904
2023-11-03,0.2049863169281707,0.45525965260821966
2023-11-06,0.23513609109159006,-1.0600570833048548
2023-11-07,0.15530789413332968,-1.0599084291243341
2023-11-08,0.14458878023560828,-0.21515138832910446
2023-11-09,0.1502422383055091,-0.20365296986710743
